task,--1,--2,--3,--4,--5,--6
anaphor_agreement,92.28,92.23,91.51,92.38,93.35,93.25
argument_structure,78.84,78.79,78.69,79.03,79.22,78.98
binding,75.54,75.75,76.02,76.22,75.51,76.05
control_raising,74.13,73.95,74.19,74.28,73.93,73.93
determiner_noun_agreement,89.84,89.8,90.12,90.0,89.54,90.14
ellipsis,73.21,73.33,73.33,72.92,72.69,73.73
filler_gap,71.52,71.66,71.21,71.71,71.15,71.35
irregular_forms,91.45,91.4,91.55,91.2,91.81,91.6
island_effects,61.02,60.91,61.43,60.01,60.35,60.8
npi_licensing,53.7,53.69,53.2,53.86,51.72,54.18
quantifiers,63.47,62.88,62.06,62.13,64.04,62.42
subject_verb_agreement,78.88,78.83,78.95,79.75,79.86,79.26
hypernym,46.51,46.74,47.67,46.28,46.05,46.51
qa_congruence_easy,57.81,57.81,57.81,57.81,57.81,57.81
qa_congruence_tricky,29.09,29.09,29.09,29.09,28.48,29.09
subject_aux_inversion,67.55,67.7,67.72,66.58,68.14,67.09
turn_taking,51.79,51.43,50.71,52.86,52.5,51.79
